Level_Name "Level 1"
Level_Blurb "Testing Wall Collision"
Level_CSV_Filename "Level_1.csv"
Level_TilesetName "Dirt"
Level_TunnelStartTopLeftX "0"
Level_TunnelStartTopLeftY "0"
Level_Start_AvatarX "192"
Level_Start_AvatarY "-192"
Level_Start_AvatarState "Standing"
Level_EndCondition_ID "1"
Level_EndCondition_IsAnd "True"
Level_EndCondition_IsOr "False"
Level_EndCondition_NoOfConditions "2"
Level_EndCondition_Type "State"
Level_EndCondition_WhenAvatarState "Walking"
Level_EndCondition_WhenAvatarStateComplete "True"
Level_EndCondition_WhenAvatarDirection "Right"
Level_EndCondition_Type "State"
Level_EndCondition_WhenAvatarState "Walking"
Level_EndCondition_WhenAvatarStateComplete "True"
Level_EndCondition_WhenAvatarDirection "Left"
Level_EndCondition_NextLevel "Level 2"
