Level_Name "Level 2"
Level_Blurb "Testing Falling"
Level_CSV_Filename "Level_2.csv"
Level_TilesetName "Dirt"
Level_TunnelStartTopLeftX "0"
Level_TunnelStartTopLeftY "0"
Level_Start_AvatarX "320"
Level_Start_AvatarY "-704"
Level_Start_AvatarState "Standing"
Level_EndCondition_ID "1"
Level_EndCondition_IsAnd "False"
Level_EndCondition_IsOr "True"
Level_EndCondition_NoOfConditions "2"
Level_EndCondition_Type "State"
Level_EndCondition_WhenAvatarState "Death"
Level_EndCondition_WhenAvatarStateComplete "True"
Level_EndCondition_WhenAvatarDirection "Right"
Level_EndCondition_Type "State"
Level_EndCondition_WhenAvatarState "Death"
Level_EndCondition_WhenAvatarStateComplete "True"
Level_EndCondition_WhenAvatarDirection "Left"
Level_EndCondition_NextLevel "Level 3"
